,,,,,,,,
DAO Name,Amount of Treasury,"Market cap in USD, unless otherwise specified, Fully Diluted Valuation Highlighted Red (Henry)",Types,Voting Platform,Snapshot,On-chain,Others,Token Secondary market
MatrixDAO,$5k,,Research,snapshot,FALSE,TRUE,FALSE,No
PeopleDAO,$11k,"62,863,079",Investment,snapshot,FALSE,TRUE,FALSE,Yes
Covalent,$0.00,"61,652,394",Infrastructure,snapshot,FALSE,FALSE,FALSE,Yes
kcc-community,$0.00,"545,516,869",Infrastructure,Snapshot,FALSE,FALSE,FALSE,Yes
K.I.N.G. DAO,$0.00,,Investment,Snapshot,FALSE,FALSE,FALSE,"No, but have NFT with value"
Yearn Finance,$27.8M,"213,595,513",Product,snapshot,FALSE,TRUE,FALSE,Yes
PleasrDAO,$27M,"186,843","Art & Culture, NFT, Collector, Investment",snapshot ,TRUE,FALSE,FALSE,Yes
CabinDAO,$3.4M,"44,504","Greater Good/Political, Social/community, Product",snapshot,FALSE,TRUE,FALSE,Yes
DeveloperDAO,$990.47K,"985,583","Research, Social/community",snapshot,FALSE,TRUE,FALSE,Yes
LexDAO,$54.4k,,"DAO Tool, Infrastructure, Social/Community",snapshot,FALSE,TRUE,FALSE,No
Loot,$1.2M,"5,949,418","Gaming, NFT, Social/Community",snapshot,FALSE,TRUE,FALSE,Yes
Curve,$114.8M,"537,464,595",DAO Tool,snapshot,TRUE,FALSE,FALSE,Yes
Governor DAO,$17k,"$215,970",Tooling,snapshot,TRUE,FALSE,FALSE,Yes
LeagueDao,$35.5k,"182,000","Product, Collector",snapshot,TRUE,FALSE,FALSE,No
InsureDAO,"$755,110","254,189",Investment,snapshot,TRUE,FALSE,FALSE,Yes
KlimaDAO,$25.7M,"13,797,466","Greater Good/Political, Social/Community, Investment",snapshot,TRUE,FALSE,FALSE,Yes
Cream Finance,$3.3M,"13,411,995","Defi, Tooling",snapshot,TRUE,FALSE,FALSE,Yes
Sushiswap,$17.3M,"130,263,471","Defi, Tooling, Investment",snapshot,TRUE,FALSE,FALSE,Yes
CityDAO,$2.3M,,"Investment, NFT",snapshot,TRUE,FALSE,FALSE,N/A
KeeperDAO,$40.5M,"519,575",Product,snapshot,TRUE,FALSE,FALSE,Yes
RaribleDAO,$14.6M,"11,532,789",Product,snapshot,TRUE,FALSE,FALSE,Yes
Balancer,$24M,"179,841,446",Defi,snapshot,TRUE,FALSE,FALSE,Yes
Tempus,$18.4M,"7,181,755","Defi, Product",snapshot,TRUE,FALSE,FALSE,Yes
Lido,$346.3M,"1,630,128,333","Defi, Product",snapshot,TRUE,FALSE,FALSE,Yes
Aave,$126.4M,"931,254,910","Defi, Product",snapshot,TRUE,FALSE,FALSE,Yes
Fei,$130.5M,"34,836,937","Defi, Product",snapshot,TRUE,FALSE,FALSE,Yes
Gitcoin,$71.8M,"61,951,749","Work & Funding, Product",snapshot,TRUE,FALSE,FALSE,Yes
Instadapp,$59M,"22,558,068","Infrastructure, Product",snapshot,TRUE,FALSE,FALSE,Yes
Ribbon,$88.9M,"150,308,655","Defi, Product, Investment",snapshot,TRUE,FALSE,FALSE,Yes
PoolTogether,$3.5M,"1,788,924","Greater good/Political, Product",snapshot,TRUE,FALSE,FALSE,Yes
dYdX,$653.5M,"353,893,221","Defi, Investment",snapshot,TRUE,FALSE,FALSE,Yes
OlympusDAO,$49M,"189,197,918","Defi, Product",snapshot,TRUE,FALSE,FALSE,Yes
Arbitrum One,$4.1B,"1,446,779,318","Infrastructure, Product",snapshot,TRUE,FALSE,FALSE,Yes
Radicle,$101.3M,"76,678,470","Infrastructure, DAO Tool",snapshot,TRUE,FALSE,FALSE,Yes
Sismo DAO,$0.00,,"Media & Communication, NFT, Product",snapshot,TRUE,FALSE,FALSE,No
TrueFi,$215.4k,"34,928,065","Defi, Prodcut",snapshot,TRUE,FALSE,FALSE,Yes
