ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
0x6fe2c0ca36b68df6f2283a544f004d4032491052cff643859c26585b47848a92,0xa7551aBe0A066555cb5d859849426fB55543Ca25,active,29693167,"['✅– Yes, make the adjustments!', '❌– No, don’t make the adjustments!']","[15814280.466983251, 1215349.3564173046]",10.0
0x1e2cd90773b9d4210a6beb9288020b095d9617ca9ccee7c1165196502bb4025b,0xa7551aBe0A066555cb5d859849426fB55543Ca25,active,29691493,"['✅– Yes, make the adjustments!', '❌– No, don’t make the adjustments!']","[19805751.582974024, 109793.46715596889]",10.0
0xd9da55a42482eb817fa1457e990cd31419359b63d5d1c4b4a6a7a2ad1b59ed2e,0xa7551aBe0A066555cb5d859849426fB55543Ca25,closed,29640143,"['✅ We want to earn PENDLE tokens!', '❌ We don’t want to earn PENDLE tokens!']","[72452587.33856565, 366023.8864223648]",10.0
0xf536b20dfa8646bc2ca975062964e58b858997c5392db2dc8872d9f3cd4a5a2b,0xa7551aBe0A066555cb5d859849426fB55543Ca25,closed,29551455,"['✅ We want to earn xALGO tokens!', '❌ We don’t want to earn xALGO tokens!']","[15540186.058204982, 554861.1580651148]",10.0
0x3a03d3bcaca1cdd2a736378bfa4360d9c49b783a6b5cc0a9ced53873f1e6628d,0xa7551aBe0A066555cb5d859849426fB55543Ca25,closed,29460380,"['✅ Yes, make the adjustments!', ""❌ No, don't make the adjustments!""]","[22070827.230142288, 194772.285558097]",10.0
0x008be3506147038cf247f7f06882de65b12d2a4fb57ad53387255cf51c4a7266,0xa7551aBe0A066555cb5d859849426fB55543Ca25,closed,29346096,"['✅ Yes, make the adjustments!', ""❌ No, don't make the adjustments!""]","[19414341.23512484, 3304441.1515374356]",10.0
0x3f934e899b63d2b903324c144f0320dc921c2482d037c2cf069b7fe43c0c4c3f,0x4634fC1462B7974dB96B700E9aBe915f0884e60a,closed,29349046,"['✅ We want to optimize CAKE emission to Axelar Farms!', '❌ We don’t want to optimize CAKE emission to Axelar Farms!']","[11914894.716639947, 97276.37597411434]",81.32715501068877
0x966558c62293f4c8b152cf9a34c37790004df116aa575541333f92dcd2d4aeac,0x4634fC1462B7974dB96B700E9aBe915f0884e60a,closed,29349046,"['✅ We want to earn HAY tokens!', '❌ We don’t want to earn HAY tokens!']","[14842030.112897657, 62369.18673122087]",81.32715501068877
0xf6ed55f8804239d8561080d934542220937b33edb5f025f67822d986f90f897e,0x8019bE1f3699B95a29B9911eDaE1b067108e6C90,closed,29346103,"['of course', 'maybe not']","[639008.9150595857, 7317.162917138017]",14.057
0x341e4dfc543c272cba9cc3abf19cc3fed06f6cc7b143f24b093ed653a4fdb8fd,0xB622398A17C3B1A6d98Ec5a55b86FC051755c8e4,closed,29346015,"['1', '2']","[1675.5136684179183, 606936.0521240339]",11.0
