ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
0x86ded24b11c4714e0f4f2b6e4ca489f60dc33e6f2f4ababa5575bf5ab973a005,0x3571D58d9bDcc918772B7f6c41b05dEa1A5E2175,closed,17586790,"['Create a UNI-ARB Working Group ', 'Enable upfront yield', 'MMA Infrastructure development', 'Combined Liquidity Incentives', 'None of the above']","[10375075.756543852, 18033.35771070608, 7088363.173355802, 16700960.491274577, 1301.10872493048]",0.0
0x98e08d94e1174b0bfa2350c616d3cf2fb8f5e56c56c03dc0ae58fd29a6b29265,0xdC1F98682F4F8a5c6d54F345F448437b83f5E432,closed,17529714,"['Yes', 'No', 'Abstain']","[3130223.5645452607, 574111.2407045489, 1138.4474510052332]",0.0
0x36a17f6c311f3d910bc11cb4cd55891a7e6c71facd04e7bffcfb267fdd88c45b,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,closed,17466245,"['Yes', 'No', 'Abstain']","[28011951.694122106, 3428.735131757383, 1165.178147167352]",0.0
0xb643c2ccb468812901c9490dbb31c5aada0140e83d0f6ce30e04fc7a237748e8,0xed11e5eA95a5A3440fbAadc4CC404C56D0a5bb04,closed,17341746,"['Yes', 'No', 'Abstain']","[49271705.2680793, 95.110745457468, 1529.165862918568]",0.0
0xac6b9ebb8cff7817fdf144119742e474dfeec984632ab374727770579e2653ed,0x8962285fAac45a7CBc75380c484523Bb7c32d429,closed,17338648,"['Yes', 'No', 'Abstain']","[28982623.081831142, 114.50610959565869, 1120.602066060001]",0.0
0x4b362044000714197ab43d5f2155977976dcc7cf1cb28d945e1168ae7ac61f90,0xa6e8772af29b29B9202a073f8E36f447689BEef6,closed,17337582,"['DAI', 'USDC', 'ETH', 'UNI']","[2454930.63913833, 9013824.202770237, 5008791.319117698, 11524.449203692784]",0.0
0xa47a49305ab418cb2ceb9da1290cbe022671d5feeb5e2a344bfcd1edbe0720d6,0xa6e8772af29b29B9202a073f8E36f447689BEef6,closed,17337542,"['Polygon', 'Optimism', 'Arbitrum']","[22229316.303734265, 5720.787877069467, 2942.505390059462]",0.0
0xb471984c1daef6742be4d4983339af7ad140c3dfcfc883508fd975f5abe0e8c9,0xa6e8772af29b29B9202a073f8E36f447689BEef6,closed,17337525,"['1/5', '1/6', '1/10', 'No Fee']","[17222574.240716726, 16032.987201358135, 5001247.057660326, 18434891.012321617]",0.0
0x73021d63f985aba8e42c67165f80c0027a591980a5cc372cda9637bdf2173f95,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,closed,17125798,"['Yes', 'No', 'Abstain']","[25789134.169008832, 168.6901016498255, 717.3921734775078]",0.0
0x0f8a85d90759acf3a6fdc018e20b991f3562847122a8142c4e166c71d0e755e3,0x3571D58d9bDcc918772B7f6c41b05dEa1A5E2175,closed,16993280,"['Yes - create new subdomain', 'No - do not create new subdomain', 'Abstain']","[29345798.22161556, 786.4640980737291, 225.42248362852445]",0.0
0xdc3e034f9b7c876736f1b629c7c9ff9c466205dfe075607d70e69b6af2fa87ef,0xe63E2CDd24695464C015b2f5ef723Ce17e96886B,closed,16934418,"['Yes', 'No']","[20407281.86632115, 199.79894391948025]",0.0
0x63f6c44e4245e5b90a0f30ebb6932506879f68b149a5f78fd2186125c9144535,0xdC1F98682F4F8a5c6d54F345F448437b83f5E432,closed,16899746,"['Yes', 'No']","[19791286.887176774, 508.15141251271046]",0.0
0xbab5cd9d9cc5123ea5da8eb45e321463f1a0fd2543dc17587db1f24099d90dfc,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,closed,16793465,"['Yes', 'No']","[19830730.53591375, 918.3180746342036]",0.0
0xa47404722b9c8a6fb850cf5de79e8a95f073f06393290949644a627bfe85bced,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,closed,16751423,"['Yes', 'No', 'Abstain']","[26095420.948693227, 2500272.903927694, 93.59000142508565]",0.0
0xbadf3b39b681c98ba8fb988d5b6c9454ebeb5aae88545a6a852d0734e9f7c957,0x32b8B761C038b030A402AB7d5536b4cddA6dbA9f,closed,16698761,"['Doo Wan Nam (StableLab)', ""Cam O'Donnell (Consensys)"", 'Jun Sun (Penn Blockchain)', 'Kendra Leong (She256)', 'Rafael Solari (Tally)', 'Kydo (Stanford Blockchain)']","[15753061.87189508, 12527800.199399147, 14251748.974587996, 9732773.717826327, 8479977.353221742, 13233161.141179334]",0.0
0x3447c5c95e70304122194efb2874757059f0851cc7449e58682f48a25e4ce7ba,0x83041D3FE06B6635A537Bae932d7a6A236527076,closed,16648874,"['Yes', 'No (make no change)']","[1044652.8410281522, 1292.3427586809933]",1621.15135236
0x9db793de052692853aa3749920e1c7161de0eead4730c3fef516bc11eb829879,0x83041D3FE06B6635A537Bae932d7a6A236527076,closed,16648855,"['Yes', 'No (make no change)']","[23972.279087850293, 720.154334516616]",1621.15135236
0x374d7f9ba673e65d6a85c3cfcc082fd3ad22ca5d8f9f44ac14e1d67154640d90,0x83041D3FE06B6635A537Bae932d7a6A236527076,closed,16619847,"['Yes', 'No']","[31437.01007407072, 574.0729966031821]",1621.15135236
0x15031b68121659b87a3f5e33c303cd517bcbc003d3f60fc82f1299620475bcab,0xa6e8772af29b29B9202a073f8E36f447689BEef6,closed,16543560,"['For', 'Against', 'Abstain']","[38105422.8906633, 118.41151823114384, 145.10561823546487]",0.0
0x6b8df360fdf73085b21fdf5eef9f85916fbde95621a3d454cb20fbe545ffc852,0xA559f6d6B5A5661E46dEc454751683294BB26B9E,closed,16497608,"['Wormhole', 'LayerZero', 'Celer', 'deBridge']","[28403914.80123294, 17173338.872409187, 662.6062039692455, 3772.802474129681]",1001.0
0xa3c7247632d3a08e4e73a63867908d0cd4402f48fa673945f93e3197dee5450a,0xA559f6d6B5A5661E46dEc454751683294BB26B9E,closed,16423931,"['Yes', 'No']","[20066279.06014263, 4928281.098235188]",1001.0
0xfd3d3807bd2a6eda1327c311b83de235061d39ff1bdfb616c9f9b0d367c3ac2c,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,closed,16373921,"['add Overnight Finance', 'add DeFiEdge', 'add none']","[14335.930887314107, 2710600.235023828, 3556.089172715455]",0.0
0x8cd74072d4ae997c11fe5351c3a8c3fcd05440091858c1ced911bb2e9043c3bb,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,closed,16373898,"['add OP-USDC 0.3%', 'add OP-USDC 0.05%', 'add wstETH-ETH 0.05%', 'add OP-WETH-0.3%', 'update wETH-DAI 0.05% from 0.3% ']","[13082.5134339128, 1916.087542903976, 5708181.431162854, 964.1847529687436, 640.6251845894424]",0.0
0x387b5e811e9673359b98729af5c7f14a50b7d0ea9b4dcf9278686b238932e25d,0xf665F2eD351696817898fe0Ace20c5C1Bc3c5796,closed,16185434,"['Yes - Enact changes', 'No - No change']","[61343206.195563175, 192.51526309217547]",553.98211829
0x5ad7208d9ccad93dbc96abc12bfeffcfe83e96b9782e5135727cdaaf494d70f3,0x5B803Ef9b91b5D2D01E1823622FA2ab89f99f320,closed,16090187,"['Yes ', 'No ']","[8575448.752952212, 3000444.332764563]",1007.8070422944786
0x31c3409c09f5561d6aff1e0adeee6c83a5e73768a5d5c3e01b2a48a3894eda54,0xEccC6bF1C7B747EFDb151163E2B5E0a4058e1d50,closed,16078806,"['Yes - Fix the bridge', 'No - Make no change']","[12950175.923032474, 111.74531102903916]",0.0
0xa4a21c808b28a61562c6b4ebf5b71c0cd37ee2d630bcbdf91ffaf5f683cc650f,0xEccC6bF1C7B747EFDb151163E2B5E0a4058e1d50,closed,16028949,"['Yes', 'No']","[19840311.053167056, 52.10935635535766]",0.0
0xe523d31000db5ecb16b002efd2ee984b958928b01cee140212eefc3ed5bcdfcd,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,closed,16020101,"['Yes - Deploy Uniswap v3 to Boba', 'No - Make No Change']","[17519151.866450302, 4920173.993876283]",0.0
0x5387b0756442268d283d4ac7f3f4bc4cc0204c5e47b9708e5128fcbdea2d0cd1,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,closed,15969722,"['Yes - Deploy Uniswap v3 to Boba', 'No- Make No Change']","[14640524.295200426, 1522.9293585180883]",0.0
