ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
0xaee9727ec0319e77da7ac49d5e4db631a75fb034aa27748e688c4bfb8458c349,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,17102243,"['Approve YIP-210', 'Do Not Approve']","[286653.5335327927, 0]",148628.83704873393
0x617192f236033eac7439ec0b3ef8765c7b5eaf4279609ff02b195fb248ca20a8,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,16735902,"['Remove 0xE from Multisigs', 'Do not remove 0xE']","[270299.6157053146, 0]",136422.78184472746
0x7e4a82c045f51625d9d707b09214b77f95ad4697ba06aa5ed9737e662afe5eeb,0x653d63E4F2D7112a19f5Eb993890a3F27b48aDa5,closed,16492331,"['immediately give access', 'do not give access']","[271379.08311656886, 0]",133685.85873804282
0x3a9fde3ecd262cf9fa900f60185df87015b167b76cc8862a6ede97b8e634ef00,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,16162448,"['Support with 5k for 1 year', 'Support with 10k for 2 years', 'Support with 15k for 3 years', 'Support with 20k for 4 years', 'Support with 25k for 5 years', 'Support with 30k for 6 years', 'Support with 35k for 7 years', 'Support with 40k for 8 years', 'Dont support']","[1423.0999021543864, 0, 0, 0, 0, 0, 0, 32.48504305625036, 746389.6302732463]",399.788359894584
0x2d05c00a62bcf549c0c2aca1a790f2058db647166deba417cd93b81953169ccb,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,16162436,"['Support vested 90 WETH 150k YAM', 'Support vested 120 WETH 200k YAM', 'Support vested 150 WETH 250k YAM', 'Dont support']","[178.60560566744277, 0, 3.43151e-19, 746474.1455576934]",399.788359894584
0xa5203245338aeab3b5e4141e82282c600acdba14788af7b5852eb13da2d2b42a,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,16162434,"['Support', 'Dont support']","[135.2285686188803, 746517.522594742]",399.788359894584
0x376c47244d414ffc7aa2cc0ffdf563f31842b90df74604551c9bc052f80d1844,0x87D4c94e893660Ea4624a2AFa881937ED8ea8C8d,closed,16107510,"['No redemption', 'Redemption forever', 'Temporary Redemption', 'For Pro-rata Split', 'Against Pro-rata Split', 'Redeem+donate to GiveDirectly', 'Redeem+donate to Gitcoin']","[194335.29187365208, 724680.3512261171, 1279092.006785721, 1116021.5784166926, 276639.1619959482, 1116006.391998456, 1167896.3313889431]",132609.73236252516
0x714af9e0c378f0e8c82267eded4e3f5abae978d2c2a02e4d858754c938ba9a72,0x2281A3Cd35AD0314f4aAB831017930078ED461F7,closed,16093458,"['No redemption', 'Redemption forever', 'Pro Rata GiveDirectly', 'Pro Rata Gitcoin']","[129377.69169087526, 577422.6911240048, 1116010.1613328247, 697359.19909238]",224865.20851381938
0x3a076b285ff586ee9159937a7370d5498347ea3a15995137154f1d66b5b5e01b,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15974975,"['Open redemption forever only', 'Redemption 1y and Gitcoin only', 'Redemption 1y and Watoto only', 'Redemption 1y and both']","[85764.26062979044, 438.6712395548985, 0.799576719789168, 0]",399.788359894584
0x69ba310a132ba3bfa6b4a98a0c0f07a7aeb03ced3a2aae52cc711e663a1f35c1,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15956443,"['Support with 5k for 1 year', 'Support with 10k for 2 years', 'Support with 15k for 3 years', 'Support with 20k for 4 years', 'Support with 25k for 5 years', 'Support with 30k for 6 years', 'Support with 35k for 7 years', 'Support with 40k for 8 years', 'Dont support']","[338.99785124072093, 0.399788359894584, 0, 2273.375099895928, 0.399788359894584, 0, 0, 8096.954605653841, 760523.6100851016]",399.788359894584
0xaf9f9c36adb15c898638cdbfbda8a30ca5afdfd184ce69bf447411e4546a6d20,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15956430,"['Support vested 90 WETH 150k YAM', 'Support vested 120 WETH 200k YAM', 'Support vested 150 WETH 250k YAM', 'Dont support']","[352.3420974853438, 7.196190478102512, 0, 762783.6409387528]",399.788359894584
0x949864fb08d32db705123bac0067e938b89a6f4e5b692ad9fc5a0cc9be2540f2,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15956154,"['Support 1-', 'Support 2-', 'Support 3-', 'Support 4-', 'Dont support 1-', 'Dont support 2-', 'Dont support 3-', 'Dont support 4-']","[2338.075751373734, 763129.4351921119, 763142.7630393432, 2280.5712903740305, 762783.6409387528, 2273.375099895928, 2273.375099895928, 762783.6409387528]",399.788359894584
0xf0f2606c06092f265a8b59dd3de7d9ac582ea9fa16f12124a24a3e3be43b96b9,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15956118,"['Support', 'Dont support']","[0.799576719789168, 763142.7630393432]",399.788359894584
0x1db960e54e07a0057c97083825b95a58b52d272e27229c468c49fe763ab8c3ee,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15757479,"['Ban / Ignore Bad Actors', 'Update Guardian Multisig', 'Do nothing']","[802766.4195093269, 803181.0892089831, 0]",143973.47279824413
0x3db446c52f54bba28b95551dfa8f55ca0a9fda868dbec04d37a46467eb3fc1bf,0xAbC8e9b22e8658Ac6d61d86cA035AFDb8a453da2,closed,15742556,"['Gitcoin', 'Watoto', 'No redemption']","[448048.5895326013, 716690.5024240956, 776984.8737066197]",240601.25754183752
0x38c6e48be58c03da0546b0d4a648d4228cf12e195c53b67a3798a73d3f2578b0,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15726934,"['Allow Redeption for 1 Month', 'Allow Redeption for 3 Months', 'Allow Redeption for 6 Months', 'Allow Redeption for 12 Months', 'Do not allow Redemption']","[821754.3110434033, 787742.8868160245, 139684.14675524994, 139649.56506211907, 0]",139354.3440362868
0xe2b29b6ed210b7737c1e397b9a9449035f265475c152986182d29588f1571232,0xAbC8e9b22e8658Ac6d61d86cA035AFDb8a453da2,closed,15713088,"['Gitcoin', 'Watoto Orphanage', 'WCK', 'LCVEF', 'Pro-rata donations based on Yam', 'None of the above']","[3.5900994718533643, 0, 0, 0, 668991.102559512, 843435.3811747682]",240601.25754183752
0x65dfb1ee046e6ec37f7b39643d73a4b43153ba3c547588dec16dd0f0c2c9ab16,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,15668619,"['$0/hr', '$10/hr', '$20/hr', '$30/hr', '$40/hr', '$50/hr', '$60/hr', '$70/hr', '$80/hr']","[0, 2273.7668924886248, 0, 0, 0, 0, 0, 0, 242372.27389585192]",64771.15651856828
0x921fee2d0a94984e28fa95c625e4ac6882b33ab999201042b335df92546d9930,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,15668513,"['YES - Approve Grant', 'NO- Disappove Grant']","[863282.8184278803, 0]",64771.15651856828
